                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4302,                 1.6708,                 1.6093,                0.20413,                0.18671,                0.12929,                0.06517,                 2.1441,                 3.6536,                 3.0835,             0.00032219,             0.00032219,             0.00032219
                      2,                 1.4455,                 1.6328,                 1.5952,                0.14914,                0.25818,                0.10784,                0.04487,                 2.3398,                 3.1234,                  2.781,             0.00064251,             0.00064251,             0.00064251
                      3,                 1.5224,                 1.7944,                 1.6536,                0.08702,                0.16412,                0.08495,                0.03044,                 2.5619,                 3.6537,                 2.8853,             0.00094963,             0.00094963,             0.00094963
                      4,                 1.6232,                 1.9532,                 1.6936,                0.07379,                0.25405,                0.08922,                 0.0432,                 2.0865,                 3.3795,                  2.661,               0.001045,               0.001045,               0.001045
                      5,                 1.6506,                 1.9527,                 1.7224,                0.09867,                0.22687,                0.11063,                0.04765,                 2.2161,                 3.1379,                 2.8786,               0.001045,               0.001045,               0.001045
                      6,                 1.5928,                 1.8405,                 1.6849,                0.06132,                0.17207,                0.06603,                0.02361,                 2.5884,                 3.8006,                 3.1661,               0.001023,               0.001023,               0.001023
                      7,                    1.6,                 1.8784,                 1.7111,                0.09412,                0.20056,                0.06774,                0.02534,                 2.5522,                 3.3302,                  3.058,               0.001001,               0.001001,               0.001001
                      8,                  1.528,                 1.7861,                 1.6752,                0.10008,                0.23647,                0.07806,                0.03156,                 2.3163,                 3.2964,                 2.8154,             0.00097901,             0.00097901,             0.00097901
                      9,                 1.5463,                 1.7285,                 1.6612,                0.12015,                0.24968,                0.13279,                0.07053,                 1.8295,                 2.9369,                 2.3901,             0.00095702,             0.00095702,             0.00095702
                     10,                  1.583,                 1.7412,                 1.6473,                0.19384,                0.13889,                0.11977,                0.05928,                 1.8842,                 3.0488,                 2.3361,             0.00093502,             0.00093502,             0.00093502
                     11,                  1.541,                 1.6876,                 1.6431,                0.13904,                 0.3222,                0.15051,                0.07963,                 1.9553,                 2.7504,                 2.5054,             0.00091302,             0.00091302,             0.00091302
                     12,                  1.504,                 1.6118,                 1.6234,                 0.1402,                 0.2611,                0.13562,                0.05741,                 2.1689,                 3.2741,                 2.6928,             0.00089102,             0.00089102,             0.00089102
                     13,                 1.4715,                 1.6362,                 1.6169,                0.14729,                0.25228,                0.16317,                0.07247,                  1.882,                 2.8034,                 2.3479,             0.00086902,             0.00086902,             0.00086902
                     14,                 1.4262,                 1.5137,                  1.567,                0.18371,                0.29085,                0.17533,                0.09316,                 2.0177,                 3.0118,                 2.5806,             0.00084703,             0.00084703,             0.00084703
                     15,                 1.4431,                 1.4849,                 1.5759,                0.13096,                0.30181,                0.14549,                0.08289,                 1.7851,                 3.1233,                 2.4246,             0.00082503,             0.00082503,             0.00082503
                     16,                 1.4309,                 1.4216,                 1.5549,                0.34513,                0.19856,                0.12413,                0.05649,                 2.0037,                 3.2296,                 2.4845,             0.00080303,             0.00080303,             0.00080303
                     17,                 1.4288,                   1.42,                 1.5609,                0.16855,                0.30864,                0.20015,                0.09483,                 1.8654,                 2.8278,                 2.4217,             0.00078103,             0.00078103,             0.00078103
                     18,                 1.4527,                 1.4104,                 1.5697,                 0.1714,                0.20896,                0.12415,                0.05064,                 2.4601,                 3.3284,                 2.8156,             0.00075904,             0.00075904,             0.00075904
                     19,                 1.4195,                 1.3711,                 1.5387,                0.15594,                0.31598,                0.14729,                0.07268,                 1.9694,                 3.0878,                 2.3548,             0.00073704,             0.00073704,             0.00073704
                     20,                 1.3971,                 1.3472,                 1.5005,                0.15615,                0.31314,                0.17434,                0.09124,                 1.9142,                  3.169,                 2.4091,             0.00071504,             0.00071504,             0.00071504
                     21,                 1.3602,                 1.3109,                 1.5037,                0.16157,                0.27662,                0.16703,                0.09099,                 1.8934,                  3.118,                 2.4187,             0.00069304,             0.00069304,             0.00069304
                     22,                 1.3438,                 1.2234,                 1.4677,                0.15384,                0.29932,                0.17278,                0.09937,                 1.7213,                 3.0387,                 2.2476,             0.00067104,             0.00067104,             0.00067104
                     23,                 1.3018,                 1.2049,                 1.4554,                0.27256,                0.28152,                0.22852,                 0.1317,                 1.6674,                 2.9676,                 2.1172,             0.00064905,             0.00064905,             0.00064905
                     24,                 1.3162,                 1.1513,                 1.4641,                 0.1516,                0.32596,                0.18668,                0.11065,                 1.6441,                 2.9496,                 2.2006,             0.00062705,             0.00062705,             0.00062705
                     25,                 1.3262,                 1.1722,                 1.4472,                0.15627,                0.30671,                0.16848,                0.07683,                  2.139,                 2.9476,                 2.5833,             0.00060505,             0.00060505,             0.00060505
                     26,                 1.2955,                  1.131,                 1.4354,                0.19537,                0.31419,                0.18697,                0.10044,                 1.8756,                 3.0285,                 2.2777,             0.00058305,             0.00058305,             0.00058305
                     27,                 1.2664,                 1.0903,                 1.4097,                0.22763,                0.36733,                0.26416,                0.15953,                 1.7387,                 2.7158,                  2.255,             0.00056105,             0.00056105,             0.00056105
                     28,                 1.2379,                 1.0773,                 1.3863,                 0.3291,                0.39557,                0.23772,                0.14662,                 1.6192,                 2.4994,                 2.0389,             0.00053906,             0.00053906,             0.00053906
                     29,                 1.2614,                 1.0758,                 1.4339,                0.21441,                0.28953,                 0.1997,                0.10762,                 1.8146,                 3.0478,                   2.26,             0.00051706,             0.00051706,             0.00051706
                     30,                 1.2017,                 1.0457,                 1.4098,                0.36608,                0.31971,                0.24992,                0.15597,                 1.7153,                  2.709,                  2.301,             0.00049506,             0.00049506,             0.00049506
                     31,                 1.1768,                0.99095,                 1.3857,                 0.2564,                0.30611,                0.26195,                0.16193,                 1.5998,                 2.9434,                 2.1388,             0.00047306,             0.00047306,             0.00047306
                     32,                 1.1874,                0.99951,                 1.3711,                0.26065,                0.30383,                0.21266,                0.12539,                 1.8281,                 3.0608,                 2.3517,             0.00045107,             0.00045107,             0.00045107
                     33,                 1.1845,                0.98851,                 1.3723,                0.31961,                0.28558,                0.19379,                0.11166,                 1.7129,                 2.9457,                  2.198,             0.00042907,             0.00042907,             0.00042907
                     34,                 1.1578,                0.94877,                 1.3434,                0.28034,                0.31523,                0.20897,                0.12969,                  1.621,                 3.1689,                 2.1236,             0.00040707,             0.00040707,             0.00040707
                     35,                 1.1377,                0.93067,                 1.3415,                0.24441,                0.29864,                 0.2481,                0.15096,                 1.7517,                 3.0511,                  2.237,             0.00038507,             0.00038507,             0.00038507
                     36,                  1.151,                0.91677,                 1.3495,                0.24748,                0.29739,                0.27291,                0.18041,                 1.6988,                 3.2161,                 2.1947,             0.00036307,             0.00036307,             0.00036307
                     37,                 1.1067,                0.90235,                 1.3307,                0.29415,                0.29323,                 0.2294,                0.15135,                 1.7058,                 3.1676,                 2.1825,             0.00034108,             0.00034108,             0.00034108
                     38,                 1.1215,                  0.913,                 1.3354,                0.19651,                0.24581,                 0.1802,                0.10284,                 1.8355,                 3.4663,                 2.2943,             0.00031908,             0.00031908,             0.00031908
                     39,                 1.0825,                0.84216,                 1.3011,                0.25886,                0.28369,                0.25064,                0.15165,                 1.6374,                  2.958,                 2.2239,             0.00029708,             0.00029708,             0.00029708
                     40,                 1.0533,                0.83253,                 1.2793,                0.32428,                0.26351,                0.25597,                0.16736,                  1.651,                 2.8029,                  2.314,             0.00027508,             0.00027508,             0.00027508
                     41,                 1.0601,                0.71657,                 1.3267,                0.23382,                0.33199,                0.26219,                0.17108,                 1.6674,                  2.881,                 2.2955,             0.00025309,             0.00025309,             0.00025309
                     42,                 1.0594,                0.71229,                 1.3353,                0.28845,                0.31524,                0.26432,                0.17107,                 1.6486,                 2.9462,                 2.2551,             0.00023109,             0.00023109,             0.00023109
                     43,                 1.0323,                0.66424,                 1.2985,                0.24331,                0.30274,                0.25192,                0.16789,                 1.6614,                 3.1641,                 2.2386,             0.00020909,             0.00020909,             0.00020909
                     44,                 1.0104,                0.65428,                 1.2899,                0.25771,                0.32777,                0.26749,                0.17728,                 1.5936,                 3.0513,                 2.1638,             0.00018709,             0.00018709,             0.00018709
                     45,                 1.0129,                0.65966,                 1.2953,                0.28197,                0.31174,                0.26466,                0.17985,                 1.5841,                 2.9518,                 2.1397,             0.00016509,             0.00016509,             0.00016509
                     46,                0.95479,                0.60053,                 1.2398,                0.25433,                0.33871,                0.25775,                 0.1758,                 1.5654,                 3.0831,                  2.155,              0.0001431,              0.0001431,              0.0001431
                     47,                0.92915,                0.58884,                 1.2168,                0.28517,                0.34367,                0.28302,                0.19352,                 1.5501,                 3.1104,                  2.122,              0.0001211,              0.0001211,              0.0001211
                     48,                0.94655,                0.58615,                 1.2282,                0.25616,                0.30183,                0.26082,                0.16848,                  1.554,                 3.1255,                 2.1562,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     49,                0.90693,                0.57814,                 1.2122,                0.27468,                0.29052,                0.27478,                0.18048,                 1.5601,                 3.1285,                 2.2252,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     50,                0.89309,                0.55388,                 1.2174,                0.26824,                0.29063,                0.25862,                0.17012,                 1.5262,                 3.0931,                  2.186,             5.5106e-05,             5.5106e-05,             5.5106e-05
